GPUArch,EnvLabel,Campaign,Mode,ChunkSize,ChunkSizeKiB,Algorithm,Dataset,Size,FileSizeMB,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,pinned,16777216,16384,cascaded,tti,large,686.00,1.02,4.87,9.32,147.598,77.202,13.120,12.880,173.597
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,pinned,16777216,16384,cascaded,tti,medium,100.00,1.03,0.74,1.41,141.264,74.248,1.928,1.874,145.066
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,pinned,262144,256,lz4,tti,large,686.00,1.04,7.69,123.24,93.506,5.837,13.083,12.603,119.191
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,pinned,262144,256,lz4,tti,medium,100.00,1.06,1.88,45.16,55.885,2.322,1.925,1.823,59.633
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,pinned,262144,256,snappy,tti,large,686.00,1.03,56.64,187.02,12.700,3.846,13.077,12.636,38.414
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,pinned,262144,256,snappy,tti,medium,100.00,1.05,16.84,48.93,6.228,2.143,1.929,1.834,9.991
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,pinned,262144,256,cascaded,tti,large,686.00,1.02,95.03,390.47,7.570,1.842,13.081,12.794,33.445
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,pinned,262144,256,cascaded,tti,medium,100.00,1.04,46.57,86.45,2.252,1.213,1.926,1.853,6.030
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,pinned,4194304,4096,lz4,tti,large,686.00,1.04,0.91,29.34,790.243,24.513,13.080,12.600,815.923
gfx942,MI300X,MI300X_CHUNK_SWEEP_20260518_041914,pinned,4194304,4096,lz4,tti,medium,100.00,1.06,0.14,5.19,765.398,20.217,1.927,1.825,769.150
